,p11,p13,p21,p23,m1,m2
0,0.0,0.0,0.0,0.0,0.17277486910994763,0.17277486910994763
1,0.0,0.0,0.0,0.1111111111111111,0.16244067347255808,0.16244067347255808
2,0.0,0.0,0.0,0.2222222222222222,0.15359401169197992,0.15359401169197992
3,0.0,0.0,0.0,0.3333333333333333,0.1459287079705662,0.1459287079705662
4,0.0,0.0,0.0,0.4444444444444444,0.13921745746370842,0.13921745746370842
5,0.0,0.0,0.0,0.5555555555555556,0.13328795449224695,0.13328795449224695
6,0.0,0.0,0.0,0.6666666666666666,0.12800719689012072,0.12800719689012072
7,0.0,0.0,0.0,0.7777777777777777,0.12327087579400044,0.12327087579400044
8,0.0,0.0,0.0,0.8888888888888888,0.11899602700396854,0.11899602700396854
9,0.0,0.0,0.0,1.0,0.11511583118201624,0.11511583118201624
10,0.0,0.0,0.1111111111111111,0.0,0.10677148215807497,0.4887910854249744
11,0.0,0.0,0.1111111111111111,0.1111111111111111,0.09518876435605073,0.43097334010349386
12,0.0,0.0,0.1111111111111111,0.2222222222222222,0.08692462292245592,0.38730370171138156
13,0.0,0.0,0.1111111111111111,0.3333333333333333,0.08071630914772389,0.3529422557231201
14,0.0,0.0,0.1111111111111111,0.4444444444444444,0.07587002399802152,0.3250813314820001
15,0.0,0.0,0.1111111111111111,0.5555555555555556,0.07197269464363833,0.3019650202503317
16,0.0,0.0,0.1111111111111111,0.6666666666666666,0.06876299300097281,0.2824316540965668
17,0.0,0.0,0.1111111111111111,0.7777777777777777,0.06606752357524397,0.2656783426702675
18,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0637667238321328,0.2511303813774451
19,0.0,0.0,0.2222222222222222,0.0,0.05751479963157959,0.7246261108548613
20,0.0,0.0,0.2222222222222222,0.1111111111111111,0.04853704298992095,0.6239929434271779
21,0.0,0.0,0.2222222222222222,0.2222222222222222,0.04357913513618199,0.5555850094713508
22,0.0,0.0,0.2222222222222222,0.3333333333333333,0.04044685184612004,0.5045433829066763
23,0.0,0.0,0.2222222222222222,0.4444444444444444,0.03829185381344363,0.46431320153464295
24,0.0,0.0,0.2222222222222222,0.5555555555555556,0.036717953655712045,0.43143458575517263
25,0.0,0.0,0.2222222222222222,0.6666666666666666,0.03551600024694831,0.40386147362739055
26,0.0,0.0,0.2222222222222222,0.7777777777777777,0.03456556258587866,0.3802849232210674
27,0.0,0.0,0.3333333333333333,0.0,0.03562946073907599,0.829410460703818
28,0.0,0.0,0.3333333333333333,0.1111111111111111,0.02878434697842222,0.7093661563113196
29,0.0,0.0,0.3333333333333333,0.2222222222222222,0.025913981834635853,0.6351213275612866
30,0.0,0.0,0.3333333333333333,0.3333333333333333,0.024376168243931236,0.5813504778522992
31,0.0,0.0,0.3333333333333333,0.4444444444444444,0.023432925625184266,0.5393156442585771
32,0.0,0.0,0.3333333333333333,0.5555555555555556,0.02280079283393655,0.5049390078004595
33,0.0,0.0,0.3333333333333333,0.6666666666666666,0.02234925186990958,0.47597313209399367
34,0.0,0.0,0.4444444444444444,0.0,0.024991232117553143,0.8803450098614124
35,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0196886494156188,0.7528026919053182
36,0.0,0.0,0.4444444444444444,0.2222222222222222,0.017986298988931674,0.67963091691523
37,0.0,0.0,0.4444444444444444,0.3333333333333333,0.01719755267973042,0.6273461972550703
38,0.0,0.0,0.4444444444444444,0.4444444444444444,0.016759373173551667,0.586448120500861
39,0.0,0.0,0.4444444444444444,0.5555555555555556,0.016486555536623853,0.5528327593136886
40,0.0,0.0,0.5555555555555556,0.0,0.018998553097866994,0.9090372306223338
41,0.0,0.0,0.5555555555555556,0.1111111111111111,0.014806560315600294,0.7796029421611803
42,0.0,0.0,0.5555555555555556,0.2222222222222222,0.013762694371028308,0.709444328445492
43,0.0,0.0,0.5555555555555556,0.3333333333333333,0.013337952339868493,0.6595202533610317
44,0.0,0.0,0.5555555555555556,0.4444444444444444,0.013122069238752098,0.6203186330623013
45,0.0,0.0,0.6666666666666666,0.0,0.015229295902248759,0.9270839771952938
46,0.0,0.0,0.6666666666666666,0.1111111111111111,0.011846424498692998,0.7984322886687899
47,0.0,0.0,0.6666666666666666,0.2222222222222222,0.011184938891437141,0.7316016100354754
48,0.0,0.0,0.6666666666666666,0.3333333333333333,0.010946244482626656,0.684027853085039
49,0.0,0.0,0.7777777777777777,0.0,0.012664924579340806,0.9393618762564895
50,0.0,0.0,0.7777777777777777,0.1111111111111111,0.009882625481980292,0.8127615333018195
51,0.0,0.0,0.7777777777777777,0.2222222222222222,0.009451075562721414,0.7490764185638132
52,0.0,0.0,0.8888888888888888,0.0,0.01081748253229713,0.9482072048453652
53,0.0,0.0,0.8888888888888888,0.1111111111111111,0.008490096311287745,0.8242299726801241
54,0.0,0.0,1.0,0.0,0.009427867102750414,0.9548605150838011
55,0.0,0.1111111111111111,0.0,0.0,0.16244067347255808,0.16244067347255808
56,0.0,0.1111111111111111,0.0,0.1111111111111111,0.15359401169197992,0.15359401169197992
57,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1459287079705662,0.1459287079705662
58,0.0,0.1111111111111111,0.0,0.3333333333333333,0.13921745746370842,0.13921745746370842
